Timestamp,Tweet Content
2018-07-02T19:57:00.000Z,"Car prices would soar under Trump's latest tariff plan https://finance.yahoo.com/news/car-prices-soar-trumps-latest-tariff-plan-192223377.html?soc_src=hl-viewer&soc_trk=tw… via 
@YahooFinance"
2018-07-02T20:46:19.000Z,"What about American Jobs?  What about winning?   
Harley said it plans to shift production of motorcycles for EU destinations from the United States to its international facilities to avoid the tariff burden. https://goo.gl/nARQmn …"
2018-07-02T22:47:29.000Z,Trump's EU trade war costing manufacturers in US and eurozone https://theguardian.com/business/2018/jul/02/eurozone-factory-output-tariff-manufacturing-eu-us-trade-war?utm_term=Autofeed&utm_campaign=Echobox&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1530549553…
2018-07-02T23:06:19.000Z,"Car prices would soar under Trump's latest tariff plan https://finance.yahoo.com/news/car-prices-soar-trumps-latest-tariff-plan-192223377.html?soc_src=social-sh&soc_trk=tw… via 
@YahooFinance"
2018-07-02T21:05:36.000Z,Trump's 'U.S. FART Act' Would Pull America Out of the WTO || By Eric Levitz http://nymag.com/daily/intelligencer/2018/07/trumps-u-s-fart-act-would-pull-america-out-of-the-wto-united-states-fair-and-reciprocal-tariff-act.html?utm_source=tw&utm_medium=s3&utm_campaign=sharebutton-t…
2018-07-02T21:01:41.000Z,"Which ‘other bit’ of govt? I was told earlier (as tweeted) third way was max fac plus taking EU tariff - which 
@jillongovt
 pointed out was in Ireland paper. Might explain the apparent contradiction.... Dancing on head of pin springs to mind"
2018-07-02T21:52:47.000Z,"It's true: according to Axios, it's the United States Fair and Reciprocal Tariff Act. But it wouldn't be the first case of an acronym gone bad — Paul Krugman (
@paulkrugman
) http://noticiasguasabara.blogspot.com/2018/07/its-true-according-to-axios-its-united.html…"
2018-07-02T21:52:31.000Z,"GUASABARAeditores: It's true: according to Axios, it's the United States Fair and Reciprocal Tariff Act. But it wouldn't be the first case of an acronym gone bad &#8212; Paul Krugman (
@paulkrugman
): http://noticiasguasabara.blogspot.com/2018/07/its-true-according-to-axios-its-united.html…"
2018-07-02T21:47:18.000Z,Win Nov canola up A$3.03/t & EU rape up A$4.05. Canadian mkts closed for holiday so both moves driven by sharp drop in A$. All US grain prices sharply lower on ongoing trade tensions & looming tariff deadlines. Move to benign weather in the US.
2018-07-02T22:00:15.000Z,We stopped buying Heinz ketchup and went full French’s. It’s great!  “Heinz scrambles for Canadian love after its ketchup takes another hit in tariff war” https://cbc.ca/news/business/heinz-french-s-ketchup-trade-war-tariffs-1.4728691?cmp=FB_Post_News…
2018-07-02T23:20:43.000Z,"Trump’s newsprint tariff is a tax on America’s free press, writes 
@SteveForbesCEO
 https://wsj.com/articles/trumps-newsprint-tariff-is-a-tax-on-americas-free-press-1530225939… via 
@WSJOpinion"
2018-07-02T22:13:21.000Z,Car prices would soar under Trump's latest tariff plan https://yahoo.com/finance/news/car-prices-soar-trumps-latest-tariff-plan-192223377.html?.tsrc=fauxdal…
2018-07-02T23:53:15.000Z,Jobs to be lost across Canada amid tariff war | CBC News https://cbc.ca/news/canada/tariff-impact-canadian-cities-1.4728226…
2018-07-02T23:45:07.000Z,"US Steel and iron will have a 25% tariff, matching the amount the US placed on imported steel http://ow.ly/bz7y30kLtzw via 
@businessinsider"
2018-07-02T21:48:22.000Z,"Yes, this administration called it FART. ""Fair And Reciprocal Tariff Act"""
2018-07-02T22:42:06.000Z,"Hi 
@JustinTrudeau
 and Canada,

Remember in the 90s when the Conservative & Reform parties formed a coalition named (briefly) ""Conservative Reform Alliance Party""?  

Well, the US just said #HoldMyBeer 

""United States Fair And Reciprocal Tariff Act"""
2018-07-02T23:25:57.000Z,Trump's EU trade war costing manufacturers in US and eurozone https://theguardian.com/business/2018/jul/02/eurozone-factory-output-tariff-manufacturing-eu-us-trade-war…
